measurementSiteReference,ROADNUMBER,measurementSiteNumberOfLanes,startLocatieForDisplayLat,startLocatieForDisplayLong,alertCDirectionCoded,carriageway
GEO01_Z_RWSTI1224,A79,2,50.8779,5.75024,positive,mainCarriageway
GEO01_Z_RWSTI1225,A79,2,50.8772,5.76253,positive,mainCarriageway
GEO01_Z_RWSTI1226,A79,2,50.8768,5.77366,positive,mainCarriageway
GEO01_Z_RWSTI1230,A79,2,50.8747,5.80815,positive,mainCarriageway
GEO01_Z_RWSTI1237,A79,2,50.8828,5.86459,positive,mainCarriageway
GEO01_Z_RWSTI1244,A79,2,50.8754,5.91775,positive,mainCarriageway
GEO01_Z_RWSTI1245,A79,2,50.8718,5.93000,positive,mainCarriageway
GEO01_Z_RWSTI1249,A79,1,50.8755,5.95431,positive,parallelCarriageway
GEO01_Z_RWSTI1251,A79,2,50.8767,5.95969,positive,mainCarriageway
GEO01_Z_RWSTI1252,A79,2,50.8766,5.95713,negative,mainCarriageway
GEO01_Z_RWSTI1255,A79,2,50.8718,5.93126,negative,mainCarriageway
GEO01_Z_RWSTI1256,A79,2,50.8755,5.91798,negative,mainCarriageway
GEO01_Z_RWSTI1260,A79,2,50.8809,5.89162,negative,mainCarriageway
GEO01_Z_RWSTI1263,A79,2,50.8827,5.86457,negative,mainCarriageway
GEO01_Z_RWSTI1268,A79,2,50.8758,5.82338,negative,mainCarriageway
GEO01_Z_RWSTI1269,A79,2,50.8747,5.80815,negative,mainCarriageway
GEO01_Z_RWSTI1273,A79,2,50.8770,5.77217,negative,mainCarriageway
GEO01_Z_RWSTI1276,A79,2,50.8779,5.75024,negative,mainCarriageway
GEO01_Z_RWSTI1233,A79,2,50.8801,5.83425,positive,mainCarriageway
GEO01_Z_RWSTI1267,A79,2,50.8801,5.83425,negative,mainCarriageway
GEO01_Z_RWSTI1239,A79,2,50.8825,5.87924,positive,mainCarriageway
GEO01_Z_RWSTI1261,A79,2,50.8825,5.87924,negative,mainCarriageway
GEO01_Z_RWSTI1228,A79,2,50.8762,5.79697,positive,mainCarriageway
GEO01_Z_RWSTI1246,A79,2,50.8742,5.94729,positive,mainCarriageway
GEO01_Z_RWSTI1254,A79,2,50.8742,5.94739,negative,mainCarriageway
GEO01_Z_RWSTI1271,A79,2,50.8762,5.79697,negative,mainCarriageway
GEO01_Z_RWSTI1235,A79,2,50.8823,5.84758,positive,mainCarriageway
GEO01_Z_RWSTI1265,A79,2,50.8826,5.84698,negative,mainCarriageway
GEO01_Z_RWSTI1232,A79,2,50.8758,5.82338,positive,mainCarriageway
GEO01_Z_RWSTI1591,A79,2,50.8799,5.90419,positive,mainCarriageway
GEO01_Z_RWSTI1223,A79,2,50.8729,5.73695,positive,mainCarriageway
GEO01_Z_RWSTI1277,A79,2,50.8729,5.73695,negative,mainCarriageway
GEO01_Z_RWSTI1247,A79,1,50.8741,5.94699,positive,parallelCarriageway
GEO01_Z_RWSTI1240,A79,2,50.8809,5.89162,positive,mainCarriageway
RWS01_MONICA_00D04F001032D0070007,A79,1,50.8696,5.72907,positive,mainCarriageway
RWS01_MONICA_00D04F001032D007000B,A79,1,50.8696,5.72907,positive,mainCarriageway
RWS01_MONIBAS_0791hrl0004ra,A79,2,50.8696,5.72889,negative,mainCarriageway
RWS01_MONICA_00D04F001032D0050009,A79,1,50.8696,5.72876,negative,
