NUTS3;NUTS Beschrijving;COROP;COROP beschrijving
NL111;Oost-Groningen;1;Oost-Groningen
NL112;Delfzijl en omgeving;2;Delfzijl en omgeving
NL113;Overig Groningen;3;Overig Groningen
NL121;Noord-Friesland;4;Noord-Friesland
NL122;Zuidwest-Friesland;5;Zuidwest-Friesland
NL123;Zuidoost-Friesland;6;Zuidoost-Friesland
NL131;Noord-Drenthe;7;Noord-Drenthe
NL132;Zuidoost-Drenthe;8;Zuidoost-Drenthe
NL133;Zuidwest-Drenthe;9;Zuidwest-Drenthe
NL211;Noord-Overijssel;10;Noord-Overijssel
NL212;Zuidwest-Overijssel;11;Zuidwest-Overijssel
NL213;Twente;12;Twente
NL221;Veluwe;13;Veluwe
NL224;Zuidwest-Gelderland;16;Zuidwest-Gelderland
NL225;Achterhoek;14;Achterhoek
NL226;Arnhem/Nijmegen;15;Arnhem/Nijmegen
NL230;Flevoland;40;Flevoland
NL310;Utrecht;17;Utrecht
NL321;Kop van Noord-Holland;18;Kop van Noord-Holland
NL322;Alkmaar en omgeving;19;Alkmaar en omgeving
NL323;IJmond;20;IJmond
NL324;Agglomeratie Haarlem;21;Agglomeratie Haarlem
NL325;Zaanstreek;22;Zaanstreek
NL326;Groot-Amsterdam;23;Groot-Amsterdam
NL327;Het Gooi en Vechtstreek;24;Het Gooi en Vechtstreek
NL332;Agglomeratie 's-Gravenhage;26;Agglomeratie 's-Gravenhage
NL333;Delft en Westland;27;Delft en Westland
NL337;Agglomeratie Leiden en Bollenstreek;25;Agglomeratie Leiden en Bollenstreek
NL338;Oost-Zuid-Holland;28;Oost-Zuid-Holland
NL339;Groot-Rijnmond;29;Groot-Rijnmond
NL33A;Zuidoost-Zuid-Holland;30;Zuidoost-Zuid-Holland
NL341;Zeeuwsch-Vlaanderen;31;Zeeuws-Vlaanderen
NL342;Overig Zeeland;32;Overig Zeeland
NL411;West-Noord-Brabant;33;West-Noord-Brabant
NL412;Midden-Noord-Brabant;34;Midden-Noord-Brabant
NL413;Noordoost-Noord-Brabant;35;Noordoost-Noord-Brabant
NL414;Zuidoost-Noord-Brabant;36;Zuidoost-Noord-Brabant
NL421;Noord-Limburg;37;Noord-Limburg
NL422;Midden-Limburg;38;Midden-Limburg
NL423;Zuid-Limburg;39;Zuid-Limburg
